Vocalization,Voice,Word,Transcript,FileNum,SubID,Vocalization Number
1,0,0,,34,746,97
2,0,0,,14,1816,38
3,0,0,,2,1075,13
4,0,0,,19,330,30
5,0,0,,22,370,93
6,0,0,,19,330,84
7,0,0,,15,1976,2
8,0,0,,9,1543,47
9,0,0,,33,701,8
10,0,0,,22,370,105
11,0,0,,10,154,46
12,0,0,,31,660,19
13,0,0,,22,370,59
14,0,0,,26,51,22
15,0,0,,34,746,83
16,0,0,,33,701,28
17,0,0,,11,1585,46
18,0,0,,24,410,45
19,0,0,,8,1446,70
20,0,0,,29,632,23
21,0,0,,1,106,120
22,0,0,,34,746,32
23,0,0,,22,370,90
24,0,0,,1,106,71
25,0,0,,13,1747,3
26,0,0,,17,25,27
27,0,0,,5,1406,2
28,0,0,,4,119,76
29,0,0,,16,2013,49
30,0,0,,3,1175,25
31,0,0,,14,1816,31
32,0,0,,1,106,90
33,0,0,,1,106,55
34,0,0,,6,1420,24
35,0,0,,4,119,59
36,0,0,,27,55,46
37,0,0,,10,154,70
38,0,0,,28,587,29
39,0,0,,22,370,2
40,0,0,,34,746,59
41,0,0,,9,1543,21
42,0,0,,22,370,47
43,0,0,,32,664,22
